p, res
7.740000, 2.983305
7.750000, 3.031678
7.760000, 3.080511
7.770000, 3.129805
7.780000, 3.179561
7.790000, 3.229780
7.800000, 3.280463
7.810000, 3.331610
7.820000, 3.383222
7.830000, 3.435300
7.840000, 3.487844
7.850000, 3.540855
7.860000, 3.594334
7.870000, 3.648282
7.880000, 3.702698
7.890000, 3.757583
7.900000, 3.812939
7.910000, 3.868764
7.920000, 3.925060
7.930000, 3.981827
7.940000, 4.039066
7.950000, 4.096776
7.960000, 4.154958
7.970000, 4.213611
7.980000, 4.272738
7.990000, 4.332336
8.000000, 4.392407
8.010000, 4.452950
8.020000, 4.513966
8.030000, 4.575455
8.040000, 4.637416
8.050000, 4.699849
8.060000, 4.762755
8.070000, 4.826132
8.080000, 4.889981
8.090000, 4.954302
8.100000, 5.019094
8.110000, 5.084357
8.120000, 5.150090
8.130000, 5.216294
8.140000, 5.282966
8.150000, 5.350108
8.160000, 5.417718
8.170000, 5.485796
8.180000, 5.554341
8.190000, 5.623352
8.200000, 5.692828
8.210000, 5.762770
8.220000, 5.833175
8.230000, 5.904043
8.240000, 5.975373
8.250000, 6.047165
8.260000, 6.119416
8.270000, 6.192125
8.280000, 6.265293
8.290000, 6.338916
8.300000, 6.412995
8.310000, 6.487528
8.320000, 6.562513
8.330000, 6.637949
8.340000, 6.713834
8.350000, 6.790167
8.360000, 6.866947
8.370000, 6.944171
8.380000, 7.021838
8.390000, 7.099946
8.400000, 7.178494
8.410000, 7.257479
8.420000, 7.336900
8.430000, 7.416754
8.440000, 7.497040
8.450000, 7.577755
8.460000, 7.658897
8.470000, 7.740465
8.480000, 7.822455
8.490000, 7.904865
8.500000, 7.987693
8.510000, 8.070937
8.520000, 8.154594
8.530000, 8.238661
8.540000, 8.323135
8.550000, 8.408015
8.560000, 8.493297
8.570000, 8.578978
8.580000, 8.665055
8.590000, 8.751526
8.600000, 8.838387
8.610000, 8.925635
8.620000, 9.013267
8.630000, 9.101281
8.640000, 9.189671
8.650000, 9.278436
8.660000, 9.367572
8.670000, 9.457074
8.680000, 9.546940
8.690000, 9.637166
8.700000, 9.727749
8.710000, 9.818683
8.720000, 9.909967
8.730000, 10.001594
8.740000, 10.093563
8.750000, 10.185868
8.760000, 10.278505
8.770000, 10.371470
8.780000, 10.464760
8.790000, 10.558369
8.800000, 10.652292
8.810000, 10.746527
8.820000, 10.841067
8.830000, 10.935909
8.840000, 11.031047
8.850000, 11.126477
8.860000, 11.222194
8.870000, 11.318192
8.880000, 11.414468
8.890000, 11.511015
8.900000, 11.607829
8.910000, 11.704904
8.920000, 11.802236
8.930000, 11.899817
8.940000, 11.997644
8.950000, 12.095710
8.960000, 12.194010
8.970000, 12.292538
8.980000, 12.391288
8.990000, 12.490255
9.000000, 12.589432
9.010000, 12.688813
9.020000, 12.788393
9.030000, 12.888164
9.040000, 12.988121
9.050000, 13.088258
9.060000, 13.188567
9.070000, 13.289042
9.080000, 13.389678
9.090000, 13.490466
9.100000, 13.591400
9.110000, 13.692474
9.120000, 13.793680
9.130000, 13.895012
9.140000, 13.996462
9.150000, 14.098022
9.160000, 14.199687
9.170000, 14.301448
