v_alpha, I_out_I
1.002000, 194.965589
1.003000, 194.955578
1.004000, 194.945557
1.005000, 194.935526
1.006000, 194.925485
1.007000, 194.915435
1.008000, 194.905375
1.009000, 194.895304
1.010000, 194.885224
1.011000, 194.875135
1.012000, 194.865035
1.013000, 194.854926
1.014000, 194.844806
1.015000, 194.834677
1.016000, 194.824539
1.017000, 194.814390
1.018000, 194.804231
1.019000, 194.794063
1.020000, 194.783885
1.021000, 194.773697
1.022000, 194.763499
1.023000, 194.753292
1.024000, 194.743075
1.025000, 194.732848
1.026000, 194.722611
1.027000, 194.712364
1.028000, 194.702107
1.029000, 194.691841
1.030000, 194.681565
1.031000, 194.671279
1.032000, 194.660983
1.033000, 194.650678
1.034000, 194.640362
1.035000, 194.630037
1.036000, 194.619702
1.037000, 194.609357
1.038000, 194.599003
1.039000, 194.588639
1.040000, 194.578264
1.041000, 194.567880
1.042000, 194.557487
1.043000, 194.547083
1.044000, 194.536670
1.045000, 194.526247
1.046000, 194.515814
1.047000, 194.505371
1.048000, 194.494919
1.049000, 194.484456
1.050000, 194.473984
1.051000, 194.463502
1.052000, 194.453010
1.053000, 194.442509
1.054000, 194.431998
1.055000, 194.421477
1.056000, 194.410946
1.057000, 194.400405
1.058000, 194.389855
1.059000, 194.379295
1.060000, 194.368724
1.061000, 194.358145
1.062000, 194.347555
1.063000, 194.336956
1.064000, 194.326347
1.065000, 194.315728
1.066000, 194.305099
1.067000, 194.294460
1.068000, 194.283812
1.069000, 194.273154
1.070000, 194.262486
1.071000, 194.251809
1.072000, 194.241121
1.073000, 194.230424
1.074000, 194.219717
1.075000, 194.209000
1.076000, 194.198274
1.077000, 194.187537
1.078000, 194.176791
1.079000, 194.166035
1.080000, 194.155270
1.081000, 194.144494
1.082000, 194.133709
1.083000, 194.122914
1.084000, 194.112109
1.085000, 194.101295
1.086000, 194.090470
1.087000, 194.079636
1.088000, 194.068792
1.089000, 194.057939
1.090000, 194.047075
1.091000, 194.036202
1.092000, 194.025319
1.093000, 194.014427
1.094000, 194.003524
1.095000, 193.992612
1.096000, 193.981690
1.097000, 193.970758
1.098000, 193.959816
1.099000, 193.948865
1.100000, 193.937904
1.101000, 193.926933
1.102000, 193.915953
1.103000, 193.904962
1.104000, 193.893962
1.105000, 193.882952
1.106000, 193.871932
1.107000, 193.860903
1.108000, 193.849864
1.109000, 193.838815
1.110000, 193.827756
1.111000, 193.816688
1.112000, 193.805609
1.113000, 193.794521
1.114000, 193.783424
1.115000, 193.772316
1.116000, 193.761199
1.117000, 193.750072
1.118000, 193.738935
1.119000, 193.727789
1.120000, 193.716632
1.121000, 193.705466
1.122000, 193.694290
1.123000, 193.683105
1.124000, 193.671909
1.125000, 193.660704
1.126000, 193.649490
1.127000, 193.638265
1.128000, 193.627031
1.129000, 193.615787
1.130000, 193.604533
1.131000, 193.593269
1.132000, 193.581996
1.133000, 193.570713
1.134000, 193.559420
1.135000, 193.548118
1.136000, 193.536805
1.137000, 193.525483
1.138000, 193.514151
1.139000, 193.502810
1.140000, 193.491459
1.141000, 193.480098
1.142000, 193.468727
1.143000, 193.457346
1.144000, 193.445956
1.145000, 193.434556
1.146000, 193.423146
1.147000, 193.411727
1.148000, 193.400298
1.149000, 193.388859
1.150000, 193.377410
1.151000, 193.365951
1.152000, 193.354483
1.153000, 193.343005
1.154000, 193.331518
1.155000, 193.320020
1.156000, 193.308513
1.157000, 193.296996
1.158000, 193.285470
1.159000, 193.273934
1.160000, 193.262388
1.161000, 193.250832
1.162000, 193.239266
1.163000, 193.227691
1.164000, 193.216106
1.165000, 193.204511
1.166000, 193.192907
1.167000, 193.181293
1.168000, 193.169669
1.169000, 193.158035
1.170000, 193.146392
1.171000, 193.134739
1.172000, 193.123076
1.173000, 193.111404
1.174000, 193.099721
1.175000, 193.088029
1.176000, 193.076328
1.177000, 193.064616
1.178000, 193.052895
1.179000, 193.041164
1.180000, 193.029424
1.181000, 193.017674
1.182000, 193.005914
1.183000, 192.994144
1.184000, 192.982364
1.185000, 192.970575
1.186000, 192.958776
1.187000, 192.946968
1.188000, 192.935149
1.189000, 192.923321
1.190000, 192.911484
1.191000, 192.899636
1.192000, 192.887779
1.193000, 192.875912
1.194000, 192.864036
1.195000, 192.852149
1.196000, 192.840253
1.197000, 192.828348
1.198000, 192.816432
1.199000, 192.804507
1.200000, 192.792572
1.201000, 192.780628
1.202000, 192.768673
1.203000, 192.756709
1.204000, 192.744736
1.205000, 192.732752
1.206000, 192.720759
1.207000, 192.708756
1.208000, 192.696744
1.209000, 192.684722
1.210000, 192.672690
1.211000, 192.660648
1.212000, 192.648597
1.213000, 192.636536
1.214000, 192.624465
1.215000, 192.612385
1.216000, 192.600295
1.217000, 192.588195
1.218000, 192.576085
1.219000, 192.563966
1.220000, 192.551837
1.221000, 192.539699
1.222000, 192.527550
