v_alpha, I_out_I
0.702000, -2.476393
0.703000, -2.483439
0.704000, -2.490495
0.705000, -2.497560
0.706000, -2.504635
0.707000, -2.511721
0.708000, -2.518816
0.709000, -2.525922
0.710000, -2.533037
0.711000, -2.540162
0.712000, -2.547297
0.713000, -2.554442
0.714000, -2.561597
0.715000, -2.568762
0.716000, -2.575937
0.717000, -2.583122
0.718000, -2.590317
0.719000, -2.597521
0.720000, -2.604736
0.721000, -2.611961
0.722000, -2.619195
0.723000, -2.626440
0.724000, -2.633694
0.725000, -2.640958
0.726000, -2.648233
0.727000, -2.655517
0.728000, -2.662811
0.729000, -2.670115
0.730000, -2.677429
0.731000, -2.684753
0.732000, -2.692087
0.733000, -2.699431
0.734000, -2.706785
0.735000, -2.714149
0.736000, -2.721522
0.737000, -2.728906
0.738000, -2.736299
0.739000, -2.743703
0.740000, -2.751116
0.741000, -2.758540
0.742000, -2.765973
0.743000, -2.773416
0.744000, -2.780869
0.745000, -2.788332
0.746000, -2.795805
0.747000, -2.803288
0.748000, -2.810781
0.749000, -2.818284
0.750000, -2.825796
0.751000, -2.833319
0.752000, -2.840851
0.753000, -2.848394
0.754000, -2.855946
0.755000, -2.863509
0.756000, -2.871081
0.757000, -2.878663
0.758000, -2.886255
0.759000, -2.893857
0.760000, -2.901469
0.761000, -2.909091
0.762000, -2.916723
0.763000, -2.924365
0.764000, -2.932016
0.765000, -2.939678
0.766000, -2.947350
0.767000, -2.955031
0.768000, -2.962722
0.769000, -2.970424
0.770000, -2.978135
0.771000, -2.985856
0.772000, -2.993587
0.773000, -3.001328
0.774000, -3.009079
0.775000, -3.016840
0.776000, -3.024610
0.777000, -3.032391
0.778000, -3.040181
0.779000, -3.047982
0.780000, -3.055792
0.781000, -3.063613
0.782000, -3.071443
0.783000, -3.079283
0.784000, -3.087133
0.785000, -3.094993
0.786000, -3.102863
0.787000, -3.110743
0.788000, -3.118632
0.789000, -3.126532
0.790000, -3.134442
0.791000, -3.142361
0.792000, -3.150290
0.793000, -3.158230
0.794000, -3.166179
0.795000, -3.174138
0.796000, -3.182107
0.797000, -3.190086
0.798000, -3.198075
0.799000, -3.206074
0.800000, -3.214082
0.801000, -3.222101
0.802000, -3.230129
0.803000, -3.238168
0.804000, -3.246216
0.805000, -3.254274
0.806000, -3.262342
0.807000, -3.270420
0.808000, -3.278508
0.809000, -3.286606
0.810000, -3.294714
0.811000, -3.302831
0.812000, -3.310959
0.813000, -3.319096
0.814000, -3.327244
0.815000, -3.335401
0.816000, -3.343568
0.817000, -3.351745
0.818000, -3.359932
0.819000, -3.368129
0.820000, -3.376336
0.821000, -3.384553
0.822000, -3.392779
0.823000, -3.401016
0.824000, -3.409262
0.825000, -3.417518
0.826000, -3.425784
0.827000, -3.434060
0.828000, -3.442346
0.829000, -3.450642
0.830000, -3.458948
0.831000, -3.467264
0.832000, -3.475589
0.833000, -3.483925
0.834000, -3.492270
0.835000, -3.500625
0.836000, -3.508990
0.837000, -3.517365
0.838000, -3.525750
0.839000, -3.534145
0.840000, -3.542550
0.841000, -3.550964
0.842000, -3.559389
