v_alpha, I_out_I
0.774000, 396.990921
0.775000, 396.983160
0.776000, 396.975390
0.777000, 396.967609
0.778000, 396.959819
0.779000, 396.952018
0.780000, 396.944208
0.781000, 396.936387
0.782000, 396.928557
0.783000, 396.920717
0.784000, 396.912867
0.785000, 396.905007
0.786000, 396.897137
0.787000, 396.889257
0.788000, 396.881368
0.789000, 396.873468
0.790000, 396.865558
0.791000, 396.857639
0.792000, 396.849710
0.793000, 396.841770
0.794000, 396.833821
0.795000, 396.825862
0.796000, 396.817893
0.797000, 396.809914
0.798000, 396.801925
0.799000, 396.793926
0.800000, 396.785918
0.801000, 396.777899
0.802000, 396.769871
0.803000, 396.761832
0.804000, 396.753784
0.805000, 396.745726
0.806000, 396.737658
0.807000, 396.729580
0.808000, 396.721492
0.809000, 396.713394
0.810000, 396.705286
0.811000, 396.697169
0.812000, 396.689041
0.813000, 396.680904
0.814000, 396.672756
0.815000, 396.664599
0.816000, 396.656432
0.817000, 396.648255
0.818000, 396.640068
0.819000, 396.631871
0.820000, 396.623664
0.821000, 396.615447
0.822000, 396.607221
0.823000, 396.598984
0.824000, 396.590738
0.825000, 396.582482
0.826000, 396.574216
0.827000, 396.565940
0.828000, 396.557654
0.829000, 396.549358
0.830000, 396.541052
0.831000, 396.532736
0.832000, 396.524411
0.833000, 396.516075
0.834000, 396.507730
0.835000, 396.499375
0.836000, 396.491010
0.837000, 396.482635
0.838000, 396.474250
0.839000, 396.465855
0.840000, 396.457450
0.841000, 396.449036
0.842000, 396.440611
0.843000, 396.432177
0.844000, 396.423732
0.845000, 396.415278
0.846000, 396.406814
0.847000, 396.398340
0.848000, 396.389856
0.849000, 396.381363
0.850000, 396.372859
0.851000, 396.364346
0.852000, 396.355822
0.853000, 396.347289
0.854000, 396.338746
0.855000, 396.330193
0.856000, 396.321630
0.857000, 396.313057
0.858000, 396.304474
0.859000, 396.295882
0.860000, 396.287279
0.861000, 396.278667
0.862000, 396.270045
0.863000, 396.261412
0.864000, 396.252770
0.865000, 396.244118
0.866000, 396.235457
0.867000, 396.226785
0.868000, 396.218103
0.869000, 396.209412
0.870000, 396.200711
0.871000, 396.192000
0.872000, 396.183279
0.873000, 396.174548
0.874000, 396.165807
0.875000, 396.157056
0.876000, 396.148296
0.877000, 396.139525
0.878000, 396.130745
0.879000, 396.121955
0.880000, 396.113154
0.881000, 396.104345
0.882000, 396.095525
0.883000, 396.086695
0.884000, 396.077855
0.885000, 396.069006
0.886000, 396.060147
0.887000, 396.051277
0.888000, 396.042398
0.889000, 396.033509
0.890000, 396.024611
0.891000, 396.015702
0.892000, 396.006783
0.893000, 395.997855
0.894000, 395.988917
0.895000, 395.979969
0.896000, 395.971010
0.897000, 395.962043
0.898000, 395.953065
0.899000, 395.944077
0.900000, 395.935080
0.901000, 395.926072
0.902000, 395.917055
0.903000, 395.908028
0.904000, 395.898991
0.905000, 395.889944
0.906000, 395.880888
0.907000, 395.871821
0.908000, 395.862745
0.909000, 395.853658
0.910000, 395.844562
0.911000, 395.835456
0.912000, 395.826340
0.913000, 395.817215
0.914000, 395.808079
0.915000, 395.798933
0.916000, 395.789778
0.917000, 395.780613
0.918000, 395.771438
0.919000, 395.762253
0.920000, 395.753058
0.921000, 395.743854
0.922000, 395.734639
0.923000, 395.725415
0.924000, 395.716181
0.925000, 395.706937
0.926000, 395.697683
0.927000, 395.688419
0.928000, 395.679146
0.929000, 395.669862
0.930000, 395.660569
0.931000, 395.651266
0.932000, 395.641953
0.933000, 395.632630
0.934000, 395.623297
0.935000, 395.613955
0.936000, 395.604602
0.937000, 395.595240
0.938000, 395.585868
0.939000, 395.576486
0.940000, 395.567094
0.941000, 395.557693
0.942000, 395.548281
0.943000, 395.538860
